"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,IT-75
Tarapoa Airport,Tarapoa,EC-U
Tarauacá Airport,Tarauacá,BR-AC
Taraz Airport,Taraz,KZ-ZHA
Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,FR-N
Taree Airport,Taree,AU-NSW
Tartu Airport,Tartu,EE-7B
Tashkent East Airport,Tashkent,UZ-TO
Tashkent International Airport,Tashkent,UZ-TO
Tasiujaq Airport,Tasiujaq,CA-QC
Taszár Air Base,Taszár,HU-SO
Tatalina LRRS Airport,Takotna,US-AK
Taupo Airport,Taupo,NZ-WKO
Tauranga Airport,Tauranga,NZ-BOP
Tautii Magheraus Airport,Baia Mare,RO-MM
Tawau Airport,Tawau,MY-12
Tbilisi International Airport,Tbilisi,GE-TB
Tbilisi Marneuli Air Base,Tbilisi,GE-KK
Tbilisi Soganlug Air Base,Tbilisi,GE-TB
Ted Stevens Anchorage International Airport,Anchorage,US-AK
Tefé Airport,Tefé,BR-AM
Tekirda? Çorlu Airport,Çorlu,TR-59
Tel Nof Air Base,Rehovot,IL-M
Tela Airport,Tela,HN-AT
Telêmaco Borba Airport,Telêmaco Borba,BR-PR
Temelli Air Base,Polatl?,TR-06
Temindung Airport,Samarinda,ID-KI
Ten. Cel. Aviador César Bombonato Airport,Uberlândia,BR-MG
Tenerife Norte Airport,Tenerife Island,ES-CN
Tenerife South Airport,Tenerife Island,ES-CN
Tengchong Tuofeng Airport,Tengchong,CN-53
Teniente Av. Jorge Henrich Arauz Airport,Trinidad,BO-B
Teniente Benjamin Matienzo Airport,San Miguel de Tucumán,AR-T
Teniente Coronel Luis a Mantilla Airport,Tulcán,EC-C
Teniente Coronel Rafael Pabón Airport,Villamontes,BO-T
Teniente FAP Jaime A De Montreuil Morales Airport,Chimbote,PE-ANC
Teniente General Gerardo Pérez Pinedo Airport,Atalaya,PE-UCA
Teniente Vidal Airport,Coyhaique,CL-AI
Tennant Creek Airport,Tennant Creek,AU-NT
Terán Air Base,Tuxtla Gutiérrez,MX-CHP
Termas de Río Hondo international Airport,Termas de Río Hondo,AR-G
Termez Airport,Termez,UZ-SU
Terrance B. Lettsome International Airport,Road Town,VG-U-A
Terre Haute International Hulman Field,Terre Haute,US-IN
Teruel Airport,Teruel,ES-AR
Teslin Airport,Teslin,CA-YT
Teterboro Airport,Teterboro,US-NJ
Texada Gillies Bay Airport,Texada,CA-BC
Texarkana Regional Webb Field,Texarkana,US-AR
Texas Gulf Coast Regional Airport,Angleton/Lake Jackson,US-TX
Thandwe Airport,Thandwe,MM-16
Thangool Airport,Biloela,AU-QLD
The Eastern Iowa Airport,Cedar Rapids,US-IA
The Florida Keys Marathon Airport,Marathon,US-FL
The Pas Airport,The Pas,CA-MB
Theodore Francis Green State Airport,Providence,US-RI
Thessaloniki Macedonia International Airport,Thessaloniki,GR-54
Thicket Portage Airport,Thicket Portage,CA-MB
Thisted Airport,Thisted,DK-81
Thompson Airport,Thompson,CA-MB
Thornhill Air Base,Gweru,ZW-MI
Thule Air Base,Thule,GL-U-A
Thumrait Air Base,Thumrait,OM-ZU
Thunder Bay Airport,Thunder Bay,CA-ON
Tianjin Binhai International Airport,Tianjin,CN-12
Tianshui Maijishan Airport,Tianshui,CN-62
Tiga Airport,Tiga,NC-U-A
Tiko Airport,Tiko,CM-SW
Tiksi Airport,Tiksi,RU-SA
Timbuktu Airport,Timbuktu,ML-7
Timimoun Airport,Timimoun,DZ-01
Timi?oara Traian Vuia Airport,Timi?oara,RO-TM
Timmins/Victor M. Power,Timmins,CA-ON
Tindouf Airport,Tindouf,DZ-37
Tinian International Airport,Tinian Island,MP-U-A
Tinker Air Force Base,Oklahoma City,US-OK
Tinson Pen Airport,Tinson Pen,JM-02
Tipton Airport,Fort Meade(Odenton),US-MD
Tirana International Airport Mother Teresa,Tirana,AL-11
Tiraspol Airport,Tiraspol,MD-TR
Tiree Airport,Balemartine,GB-SCT
Tiriós Airport,Óbidos,BR-PA
Tiruchirapally Civil Airport Airport,Tiruchirappally,IN-TN
Tivat Airport,Tivat,ME-19
Tobago-Crown Point Airport,Scarborough,TT-WTO
Tobias Bolanos International Airport,San Jose,CR-SJ
Tocumen International Airport,Tocumen,PA-8
Tofino / Long Beach Airport,Tofino,CA-BC
Togiak Airport,Togiak Village,US-AK
Tokachi-Obihiro Airport,Obihiro,JP-01
Tokat Airport,Tokat,TR-60
Tököl Airport,Tököl,HU-PE
Toksan Air Base,T?ksan-dong,KP-08
Tokua Airport,Tokua,PG-EBR
Tokunoshima Airport,Tokunoshima,JP-46
Tokushima Airport/JMSDF Air Base,Tokushima,JP-36
Tokyo Haneda International Airport,Tokyo,JP-13
Tôlanaro Airport,Tôlanaro,MG-U
Toledo Express Airport,Toledo,US-OH
Tolmachevo Airport,Novosibirsk,RU-NVS
Tomaszow Mazowiecki Military Air Base,Tomaszów Mazowiecki,PL-LD
Toncontín International Airport,Tegucigalpa,HN-FM
Tonghua Sanyuanpu Airport,Tonghua,CN-22
Tongliao Airport,Tongliao,CN-15
Tonopah Airport,Tonopah,US-NV
Topeka Regional Airport - Forbes Field,Topeka,US-KS
Torino-Aeritalia Airport,Torino,IT-21
Toronto/Oshawa Executive Airport,Oshawa,CA-ON
Torrejón Airport,Madrid,ES-M
Tortolì Airport,Arbatax,IT-88
Tottori Airport,Tottori,JP-31
Touggourt Sidi Madhi Airport,Touggourt,DZ-30
Touho Airport,Touho,NC-U-A
Toulon-Hyères Airport,Toulon/Hyères/Le Palyvestre,FR-U
Toulouse-Blagnac Airport,Toulouse/Blagnac,FR-N
Toulouse-Francazal (BA 101) Air Base,Toulouse/Francazal,FR-N
Tours-Val-de-Loire Airport,Tours/Val de Loire (Loire Valley),FR-F
Toussaint Louverture International Airport,Port-au-Prince,HT-OU
Toussus-le-Noble Airport,Toussus-le-Noble,FR-J
Townsville Airport,Townsville,AU-QLD
Toyama Airport,Toyama,JP-16
Tozeur Nefta International Airport,Tozeur,TN-72
Trabzon International Airport,Trabzon,TR-61
Transilvania Târgu Mure? International Airport,Târgu Mure?,RO-MS
Travis Air Force Base,Fairfield,US-CA
Treasure Cay Airport,Treasure Cay,BS-MH
Tren?ín Airport,Tren?ín,SK-TC
Trento-Mattarello Airport,Trento (TN),IT-32
Trenton Mercer Airport,Trenton,US-NJ
Tres Arroyos Airport,Tres Arroyos,AR-B
Tres De Mayo Airport,Puerto Asís,CO-PUT
Tres Esquinas Air Base,Tres Esquinas,CO-CAQ
Tretyakovo Airport,Lukhovitsy,RU-MOS
Treviso-Sant'Angelo Airport,Treviso,IT-34
Tri Cities Airport,Pasco,US-WA
Tribhuvan International Airport,Kathmandu,NP-BA
Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport,US-TN
Trieste–Friuli Venezia Giulia Airport,Trieste,IT-36
Tripoli International Airport,Tripoli,LY-TB
Tri-State/Milton J. Ferguson Field,Huntington,US-WV
Trivandrum International Airport,Thiruvananthapuram,IN-KL
Trois-Rivières Airport,Trois-Rivières,CA-QC
Trollhättan-Vänersborg Airport,Trollhättan,SE-Q
Trombetas Airport,Oriximiná,BR-PA
Tromsø Airport,Tromsø,NO-19
Trondheim Airport Værnes,Trondheim,NO-17
Troy Municipal Airport,Troy,US-AL
Troyes-Barberey Airport,Troyes/Barberey,FR-G
Truckee Tahoe Airport,Truckee,US-CA
Trujillo Airport,Trujillo,HN-CL
Truth Or Consequences Municipal Airport,Truth Or Consequences,US-NM
Tsuiki Air Field,Tsuiki,JP-16
Tsumeb Airport,Tsumeb,NA-OT
Tsushima Airport,Tsushima,JP-42
Tte. Julio Gallardo Airport,Puerto Natales,CL-MA
Tucson International Airport,Tucson,US-AZ
Tucumcari Municipal Airport,Tucumcari,US-NM
Tucupita Airport,Tucupita,VE-Y
Tucuruí Airport,Tucuruí,BR-PA
Tugdan Airport,Tablas Island,PH-ROM
Tuguegarao Airport,Tuguegarao City,PH-CAG
Tuktoyaktuk Airport,Tuktoyaktuk,CA-NT
Tulcea Airport,Tulcea,RO-TL
Tulita Airport,Tulita,CA-NT
Tulsa International Airport,Tulsa,US-OK
Tunggul Wulung Airport,Cilacap-Java Island,ID-JT
Tunis Carthage International Airport,Tunis,TN-11
Tunja Airport,Tunja,CO-BOY
Tunxi International Airport,Huangshan,CN-34
Tupelo Regional Airport,Tupelo,US-MS
Turaif Domestic Airport,Turaif,SA-08
Turbat International Airport,Turbat,PK-BA
Turin Airport,Torino,IT-21
Turkmenabat Airport,Türkmenabat,TM-L
Turkmenbashi Airport,Krasnovodsk,TM-B
Turku Airport,Turku,FI-LS
Turpan Jiaohe Airport,Turpan,CN-65
Tuscaloosa Regional Airport,Tuscaloosa,US-AL
Tuzla International Airport,Tuzla,BA-BIH
Tweed New Haven Airport,New Haven,US-CT
Twente Airfield,Enschede,NL-OV
Twentynine Palms (Self) Airport,Twentynine Palms,US-CA
Tyler Pounds Regional Airport,Tyler,US-TX
Tyndall Air Force Base,Panama City,US-FL
Tzaneen Airport,Tzaneen,ZA-NP
Ubaydah Bin Al Jarrah Airport,Al Cut,IQ-WA
Ubon Ratchathani Airport,Ubon Ratchathani,TH-34
Udon Thani Airport,Udon Thani,TH-41
Ufa International Airport,Ufa,RU-BA
Ugolny Airport,Anadyr,RU-CHU
Uige Airport,Uige,AO-UIG
Ukhta Airport,Ukhta,RU-KO
Ukiah Municipal Airport,Ukiah,US-CA
Ukkurey Air Base,Chernysevsk,RU-CHI
Ukrainka Air Base,Belogorsk,RU-AMU
Uktus Airport,Yekaterinburg,RU-SVE
Ulan-Ude Airport (Mukhino),Ulan Ude,RU-BU
Ulan-Ude East Airport,Ulan Ude,RU-BU
Ulsan Airport,Ulsan,KR-31
Ulukhaktok Holman Airport,Ulukhaktok,CA-NT
Ulyanovsk Baratayevka Airport,Ulyanovsk,RU-ULY
Ulyanovsk East Airport,Ulyanovsk,RU-ULY
Umberto Modiano Airport,Cabo Frio,BR-RJ
Umeå Airport,Umeå,SE-AC
Umiujaq Airport,Umiujaq,CA-QC
Unalaska Airport,Unalaska,US-AK
Union Island International Airport,Union Island,VC-06
University of Illinois Willard Airport,Champaign/Urbana,US-IL
University Oxford Airport,Oxford,US-MS
University Park Airport,State College,US-PA
Upala Airport,Upala,CR-A
Upolu Airport,Hawi,US-HI
Uprun Air Base,Uvelsky,RU-CHE
Uralsk Airport,Uralsk,KZ-ZAP
Uranium City Airport,Uranium City,CA-SK
Uray Airport,Uray,RU-KHM
Urbe Airport,Roma,IT-62
Urgench Airport,Urgench,UZ-XO
Urmia Airport,Urmia,IR-02
Ürümqi Diwopu International Airport,Ürümqi,CN-65
Usiminas Airport,Ipatinga,BR-MG
Usinsk Airport,Usinsk,RU-KO
Ust-Kamennogorsk Airport,Ust Kamenogorsk,KZ-VOS
Ust-Kut Airport,Ust-Kut,RU-IRK
Ust-Nera Airport,Ust-Nera,RU-SA
Ust-Tsylma Airport,Ust-Tsylma,RU-KO
U-Tapao International Airport,Rayong,TH-21
Utti Air Base,Utti / Valkeala,FI-ES
Uytash Airport,Makhachkala,RU-DA
Uzhhorod International Airport,Uzhhorod,UA-21
V.C. Bird International Airport,St. George,AG-03
Vaasa Airport,Vaasa,FI-LS
Václav Havel Airport Prague,Prague,CZ-PR
Vadodara Airport,Vadodara,IN-GJ
Vadsø Airport,Vadsø,NO-20
Vagar Airport,Vagar,FO-U-A
Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR-PA
Valan Airport,Honningsvåg,NO-20
Valdez Pioneer Field,Valdez,US-AK
Val-d'Or Airport,Val-d'Or,CA-QC
Valdosta Regional Airport,Valdosta,US-GA
Valek Airport,Valek,RU-KYA
Valence-Chabeuil Airport,Valence/Chabeuil,FR-V
Valencia Airport,Valencia,ES-V
Valenciennes-Denain Airport,Valenciennes/Denain,FR-O
Valladolid Airport,Valladolid,ES-CL
Valle del Fuerte International Airport,Los Mochis,MX-SIN
Vallenar Airport,Vallenar,CL-AT
Valley International Airport,Harlingen,US-TX
Van Ferit Melen Airport,Van,TR-65
Van Nuys Airport,Van Nuys,US-CA
Vanavara Airport,Vanavara,RU-KYA
Vance Air Force Base,Enid,US-OK
Vance W. Amory International Airport,Charlestown,KN-U-A
Vancouver International Airport,Vancouver,CA-BC
Vandenberg Air Force Base,Lompoc,US-CA
Vanguardia Airport,Villavicencio,CO-MET
Vanimo Airport,Vanimo,PG-SAN
Vannes-Meucon Airport,Vannes/Meucon,FR-E
"Vardø Airport, Svartnes",Vardø,NO-20
Varese-Venegono Airport,Varese,IT-25
Varkaus Airport,Varkaus / Joroinen,FI-IS
Varna Airport,Varna,BG-03
Vava'u International Airport,Vava'u Island,TO-05
Växjö Kronoberg Airport,Växjö,SE-G
Vaziani Air Base,Tbilisi,GE-TB
Velikiye Luki Airport,Velikiye Luki,RU-PSK
Venango Regional Airport,Franklin,US-PA
Venice Marco Polo Airport,Venice,IT-34
Ventspils International Airport,Ventspils,LV-VEN
Vercelli Airport,Vercelli,IT-21
Verdun-Le Rozelier Airfield,Verdun,FR-M
Vereeniging Airport,Vereeniging,ZA-GT
Vernal Regional Airport,Vernal,US-UT
Vernon Airport,Vernon,CA-BC
Vero Beach Municipal Airport,Vero Beach,US-FL
Verona Villafranca Airport,Verona,IT-34
Vesoul-Frotey Airport,Vesoul/Frotey,FR-I
Vestmannaeyjar Airport,Vestmannaeyjar,IS-8
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago del Estero,AR-G
Vichy-Charmeil Airport,Vichy/Charmeil,FR-C
Victoria Airport,Victoria,CL-AR
Victoria Falls International Airport,Victoria Falls,ZW-MN
Victoria International Airport,Victoria,CA-BC
Victoria Regional Airport,Victoria,US-TX
Vienna International Airport,Vienna,AT-9
Vigo Airport,Vigo,ES-GA
Vilankulo Airport,Vilanculo,MZ-I
Villa Airport,Maamigili,MV-13
Villa Dolores Airport,Villa Dolores,AR-X
Villa Gesell Airport,Villa Gesell,AR-B
Villa Reynolds Airport,Villa Mercedes,AR-D
Villacoublay-Vélizy (BA 107) Air Base,Villacoublay/Vélizy,FR-J
Villanova D'Albenga International Airport,Albenga (SV),IT-42
Vilnius International Airport,Vilnius,LT-VL
Vilo Acuña International Airport,Cayo Largo del Sur,CU-99
Vilyuisk Airport,Vilyuisk,RU-SA
Viña del mar Airport,Viña Del Mar,CL-VS
Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),IT-82
Vinh Airport,Vinh,VN-26
Vir Savarkar International Airport,Port Blair,IN-AN
Virac Airport,Virac,PH-CAT
Viracopos International Airport,Campinas,BR-SP
Virden/R.J. (Bob) Andrew Field Regional Aerodrome,Virden,CA-MB
Virginia Airport,Durban,ZA-NL
Viru Viru International Airport,Santa Cruz,BO-S
Visby Airport,Visby,SE-I
Vitebsk Vostochny Airport,Vitebsk,BY-VI
Viterbo Airport,Viterbo,IT-62
Vitória da Conquista Airport,Vitória Da Conquista,BR-BA
Vitoria/Foronda Airport,Alava,ES-PV
Vladivostok International Airport,Vladivostok,RU-PRI
Vlorë Air Base,Vlorë,AL-12
Vnukovo International Airport,Moscow,RU-MOS
Vodochody Airport,Vodochody,CZ-ST
Volgograd International Airport,Volgograd,RU-VGG
Volk Field,Camp Douglas,US-WI
Volkel Air Base,Uden,NL-NB
Vologda Airport,Vologda,RU-VLG
Vorkuta Airport,Vorkuta,RU-KO
Vorkuta Sovetskiy Air Base,Vorkuta,RU-KO
Voronezh Baltimor Air Base,Voronezh,RU-VOR
Voronezh International Airport,Voronezh,RU-VOR
Vorotynsk Air Base,Vorotynsk,RU-KLU
Vozdvizhenka Air Base,Ussuriysk,RU-PRI
Vredendal Airport,Vredendal,ZA-WC
Vryburg Airport,Vyrburg,ZA-NW
Vuktyl Airport,Vuktyl,RU-KO
W K Kellogg Airport,Battle Creek,US-MI
Wabush Airport,Wabush,CA-NL
Waco Regional Airport,Waco,US-TX
Wadi Seidna Air Base,Khartoum,SD-03
Wagga Wagga City Airport,Wagga Wagga,AU-NSW
Waimea Kohala Airport,Kamuela,US-HI
Wainwright Airport,Wainwright,US-AK
Wairoa Airport,Wairoa,NZ-HKB
Wajir Airport,Wajir,KE-500
Wake Island Airfield,Wake Island,UM-79
Wakkanai Airport,Wakkanai,JP-01
Walla Walla Regional Airport,Walla Walla,US-WA
Wallblake Airport,The Valley,AI-U-A
Walton Airport,Walton,PK-PB
Walvis Bay Airport,Walvis Bay,NA-ER
Wamena Airport,Wamena-Papua Island,ID-PA
Wanganui Airport,Wanganui,NZ-MWT
Warri Airport,Warri,NG-DE
Warsaw Chopin Airport,Warsaw,PL-MZ
Warton Airport,Warton,GB-ENG
Warukin Airport,Tanta-Tabalong-Borneo Island,ID-KS
Washington Dulles International Airport,Washington,US-DC
Wasilla Airport,Wasilla,US-AK
Waskaganish Airport,Waskaganish,CA-QC
Waterford Airport,Waterford,IE-WD
Waterkloof Air Force Base,Pretoria,ZA-GT
Waterloo Airport,Kitchener,CA-ON
Waterloo Regional Airport,Waterloo,US-IA
Watertown International Airport,Watertown,US-NY
Watertown Regional Airport,Watertown,US-SD
Watson Lake Airport,Watson Lake,CA-YT
Wattay International Airport,Vientiane,LA-VT
Wau Airport,Wau,SS-14
Wausau Downtown Airport,Wausau,US-WI
Wawa Airport,Wawa,CA-ON
Waynesville-St. Robert Regional Forney field,Fort Leonard Wood,US-MO
Webequie Airport,Webequie,CA-ON
Weeze Airport,Weeze,DE-NW
Weifang Airport,Weifang,CN-37
Weihai Airport,Weihai,CN-37
Weipa Airport,Weipa,AU-QLD
Wellington International Airport,Wellington,NZ-WGN
Wemindji Airport,Wemindji,CA-QC
Wendover Airport,Wendover,US-UT
Wenzhou Yongqiang Airport,Wenzhou,CN-33
West Sale Airport,Sale,AU-VIC
West Woodward Airport,Woodward,US-OK
West Wyalong Airport,West Wyalong,AU-NSW
Westchester County Airport,White Plains,US-NY
Westerland Sylt Airport,Westerland,DE-SH
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US-NE
Westfield-Barnes Regional Airport,Westfield/Springfield,US-MA
Weston Airport,Leixlip,IE-KE
Westover ARB/Metropolitan Airport,Springfield/Chicopee,US-MA
Wevelgem Airport,Wevelgem,BE-VWV
Wewak International Airport,Wewak,PG-ESW
Whale Cove Airport,Whale Cove,CA-NU
Wheeler Army Airfield,Wahiawa,US-HI
Wheeler Sack Army Air Field,Fort Drum,US-NY
Wheeling Ohio County Airport,Wheeling,US-WV
Whidbey Island Naval Air Station /Ault Field/ Airport,Oak Harbor,US-WA
Whitecourt Airport,Whitecourt,CA-AB
Whitehorse / Erik Nielsen International Airport,Whitehorse,CA-YT
Whiteman Air Force Base,Knob Noster,US-MO
Whiting Field Naval Air Station - North,Milton,US-FL
Whiting Field Naval Air Station South Airport,Milton,US-FL
Whyalla Airport,Whyalla,AU-SA
Wiarton Airport,Wiarton,CA-ON
Wichita Mid Continent Airport,Wichita,US-KS
Wick Airport,Wick,GB-SCT
Wiener Neustadt East Airport,Wiener Neustadt,AT-3
Wiesbaden Army Airfield,Wiesbaden,DE-HE
Wiley Post Will Rogers Memorial Airport,Utqia?vik,US-AK
Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,US-PA
Will Rogers World Airport,Oklahoma City,US-OK
William P Hobby Airport,Houston,US-TX
William R Fairchild International Airport,Port Angeles,US-WA
Williams Field,McMurdo Station,AQ-U-A
Williams Lake Airport,Williams Lake,CA-BC
Williamsport Regional Airport,Williamsport,US-PA
Williston Basin International Airport (U.C.),Williston,US-ND
Willow Run Airport,Detroit,US-MI
Wilmington Airpark,Wilmington,US-OH
Wilmington International Airport,Wilmington,US-NC
Wilwal International Airport,Jijiga,ET-SO
Windsor Airport,Windsor,CA-ON
Winkler County Airport,Wink,US-TX
Winnemucca Municipal Airport,Winnemucca,US-NV
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA-MB
Winnipeg / St. Andrews Airport,Winnipeg,CA-MB
Winslow Lindbergh Regional Airport,Winslow,US-AZ
Wittman Regional Airport,Oshkosh,US-WI
Woensdrecht Air Base,Bergen Op Zoom,NL-NB
Wokal Field Glasgow International Airport,Glasgow,US-MT
Wollaston Lake Airport,Wollaston Lake,CA-SK
Wonderboom Airport,Pretoria,ZA-GT
Wonju/Hoengseong Air Base (K-38/K-46),Wonju,KR-42
Wonsan Kalma International Airport,Wonsan,KP-07
Woodbourne Airport,Blenheim,NZ-MBH
Worcester Regional Airport,Worcester,US-MA
Worland Municipal Airport,Worland,US-WY
Wrangell Airport,Wrangell,US-AK
Wright-Patterson Air Force Base,Dayton,US-OH
Wrigley Airport,Wrigley,CA-NT
Wuhan Tianhe International Airport,Wuhan,CN-42
Wuhu Air Base,Wuhu,CN-34
Wujah Al Hajar Air Base,Hamat,LB-AS
Wynyard Airport,Burnie,AU-TAS
Xangongo Airport,Xangongo,AO-CNN
Xiamen Gaoqi International Airport,Xiamen,CN-35
Xi'an Xianyang International Airport,Xi'an,CN-61
Xi'an Xiguan Airport,Xi'an,CN-61
Xichang Qingshan Airport,Xichang,CN-51
Xilinhot Airport,Xilinhot,CN-15
Xingyi Airport,Xingyi,CN-52
Xining Caojiabu Airport,Xining,CN-63
Xinyuan Nalati Airport,Xinyuan County,CN-65
Xishuangbanna Gasa Airport,Jinghong,CN-53
Xoxocotlán International Airport,Oaxaca,MX-OAX
Xuzhou Guanyin Airport,Xuzhou,CN-32
Yacuiba Airport,Yacuíba,BO-T
Yakima Air Terminal McAllister Field,Yakima,US-WA
Yakubu Gowon Airport,Jos,NG-PL
Yakushima Airport,Yakushima,JP-46
Yakutat Airport,Yakutat,US-AK
Yakutsk Airport,Yakutsk,RU-SA
Yamagata Airport,Yamagata,JP-06
Yamaguchi Ube Airport,Ube,JP-35
Yamburg Airport,Yamburg,RU-YAN
Yamoussoukro Airport,Yamoussoukro,CI-07
Yangon International Airport,Yangon,MM-06
Yangyang International Airport,Gonghang-ro,KR-42
Yangzhou Taizhou Airport,Yangzhou and Taizhou,CN-32
Yanji Chaoyangchuan Airport,Yanji,CN-22
Yantai Laishan Airport,Yantai,CN-37
Yao Airport,Yao,JP-27
Yaoqiang Airport,Jinan,CN-37
Yaoundé Airport,Yaoundé,CM-CE
Yaoundé Nsimalen International Airport,Yaoundé,CM-CE
Yap International Airport,Yap Island,FM-YAP
Yariguíes Airport,Barrancabermeja,CO-SAN
Yarmouth Airport,Yarmouth,CA-NS
Yaroslavl Levtsovo Air Base,Yaroslavl,RU-YAR
Yasouj Airport,Yasouj,IR-18
Yeager Airport,Charleston,US-WV
Yecheon Airbase,Yecheon-ri,KR-47
Yelizovo Airport,Petropavlovsk-Kamchatsky,RU-KAM
Yellowknife Airport,Yellowknife,CA-NT
Yellowstone Airport,West Yellowstone,US-MT
Yellowstone Regional Airport,Cody,US-WY
Yeltsovka Airport,Novosibirsk,RU-NVS
Yemelyanovo Airport,Krasnoyarsk,RU-KYA
Yengema Airport,Yengema,SL-E
Yeniseysk Airport,Yeniseysk,RU-KYA
Yeosu Airport,Yeosu,KR-46
Yermolino Airport,Balabanovo,RU-KLU
Yeysk Airport,Yeysk,RU-KDA
Yichang Sanxia Airport,Yichang,CN-42
Yichun Mingyueshan Airport,Yichun,CN-36
Yinchuan Airport,Yinchuan,CN-64
Yingkou Lanqi Airport,Yingkou,CN-21
Yiwu Airport,Yiwu,CN-33
Yokota Air Base,Fussa,JP-13
Yola Airport,Yola,NG-AD
Yongning Air Base,Yongning,CN-11
York Landing Airport,York Landing,CA-MB
Yorkton Municipal Airport,Yorkton,CA-SK
Yoron Airport,Yoronjima,JP-46
Yoshkar-Ola Airport,Yoshkar-Ola,RU-ME
Youngstown Warren Regional Airport,Youngstown/Warren,US-OH
Ysterplaat Air Force Base,Cape Town,ZA-WC
Yuanmou Air Base,Yuanmou,CN-53
Yuba County Airport,Marysville,US-CA
Yubileyniy Airfield,Baikonur,KZ-BAY
Yugorsk Sovetsky Air Base,Yugorsk,RU-KHM
Yuma MCAS/Yuma International Airport,Yuma,US-AZ
Yushu Batang Airport,Yushu,CN-63
Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,RU-SAK
Zabrat Airport,Baku,AZ-BA
Zagreb Airport,Zagreb,HR-21
Zahedan International Airport,Zahedan,IR-13
